School_Name,School_ID,AR_Type,PEPAIMO4_1,CSPAP1_1,CSPAP1_2,CSPAP1_3,CSPAP1_4,CSPAP1_5,CSPAP1_6,CSPAP1_7,CSPAP1_8,CSPAP1_9,CSPAP1_10,CSPAP2_1,CSPAP2_2,CSPAP2_3,CSPAP2_4,CSPAP2_5,CSPAP2_6,CSPAP2_7,CSPAP2_8,CSPAP2_9,CSPAP2_10,CSPAP3_1,CSPAP3_2,CSPAP3_3,CSPAP3_4,CSPAP3_5,CSPAP3_6,CSPAP3_7,CSPAP3_8,CSPAP3_9,CSPAP3_10,CSPAP4_1,CSPAP4_2,CSPAP4_3,CSPAP4_4,CSPAP4_5,CSPAP4_6,CSPAP4_7,CSPAP4_8,CSPAP4_9,CSPAP4_10,CSPAP5_1,CSPAP5_2,CSPAP5_3,CSPAP5_4,CSPAP5_5,CSPAP5_6,CSPAP5_7,CSPAP5_8,CSPAP5_9,CSPAP5_10
Young Achievers K-8 School,4600,"=""K-8""",1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Winthrop Elementary,4052,"=""K-5""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,120.0,120.0,120.0,120.0,120.0,120.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,50.0,50.0,50.0,50.0,,,
Winship Elementary,4173,"=""K-5""",0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,-999.0,-999.0,-999.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0
West Zone Early Learning Center,4231,"=""K-5""",1,300.0,300.0,300.0,,,,,,,,150.0,150.0,150.0,,,,,,,,300.0,300.0,250.0,,,,,,,,45.0,45.0,45.0,,,,,,,,60.0,60.0,60.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
West Roxbury Academy,1256,"=""9-12""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Warren/Prescott K-8 School,4283,"=""K-8""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,10.0,10.0,10.0,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,10.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Urban Science Academy,1253,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Umana Academy,4323,"=""K-8""",0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,120.0,-999.0,275.0,275.0,165.0
UP Academy Holland,4250,"=""K-5""",0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,90.0,90.0,60.0,60.0,60.0,60.0,60.0,,,,50.0,50.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
UP Academy Dorchester,4345,"=""K-8""",0,230.0,230.0,115.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,180.0,180.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,180.0,180.0,60.0,60.0,45.0,45.0,45.0,30.0,30.0,30.0,50.0,50.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
UP Academy Boston,2450,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,10.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0
Tynan Elementary,4590,"=""K-5""",0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,40.0,40.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,,,
Trotter K-8 School,4580,"=""K-8""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0
Tobin K-8 School,4570,"=""K-8""",0,110.0,110.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,120.0,120.0,180.0,180.0,60.0,0.0,120.0,180.0,120.0
Timilty Middle School,2040,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,20.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,,,,,,,,120.0,120.0,120.0
TechBoston Academy 6-12,1460,"=""6-12""",1,,,,,,,,270.0,270.0,270.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,270.0,270.0,270.0
Taylor Elementary,4151,"=""K-5""",1,255.0,255.0,255.0,255.0,255.0,255.0,255.0,,,,20.0,20.0,25.0,35.0,35.0,35.0,35.0,,,,15.0,15.0,15.0,20.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0
Sumner Elementary,4560,"=""K-5""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-999.0,-999.0,-999.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0
Snowden International High School,1200,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Shaw Elementary,4670,"=""K-5""",0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0,10.0,10.0,10.0,10.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,-999.0,-999.0
Russell Elementary,4530,"=""K-5""",0,100.0,100.0,100.0,105.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-999.0,-999.0,-999.0,30.0,30.0,30.0,30.0,10.0,10.0,10.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,75.0,45.0,45.0,45.0,45.0,-999.0,-999.0,-999.0
Roosevelt K-8 School,4192,"=""K-8""",0,100.0,100.0,100.0,125.0,125.0,125.0,125.0,180.0,180.0,180.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,170.0,170.0,170.0
Quincy Upper School,1450,"=""6-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,15.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,,,,,,,,60.0,60.0,60.0
Quincy Elementary,4650,"=""K-5""",1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,55.0,55.0,30.0,30.0,30.0,30.0,30.0,,,,55.0,55.0,50.0,50.0,50.0,50.0,50.0,,,,45.0,45.0,45.0,45.0,45.0,45.0,45.0,,,
Philbrick Elementary,4561,"=""K-5""",0,230.0,230.0,285.0,285.0,200.0,200.0,200.0,-999.0,-999.0,-999.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-999.0,-999.0,-999.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,55.0,55.0,110.0,55.0,55.0,55.0,55.0,,,
Perry K-8 School,4592,"=""K-8""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,75.0,75.0,75.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,50.0,100.0,50.0,50.0,50.0,100.0,100.0
Perkins Elementary,4022,"=""K-5""",0,-999.0,45.0,45.0,45.0,45.0,45.0,45.0,,,,,30.0,30.0,30.0,30.0,30.0,30.0,,,,,30.0,30.0,30.0,30.0,30.0,30.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-999.0,180.0,120.0,120.0,180.0,60.0,60.0,-999.0,-999.0,-999.0
Otis Elementary,4322,"=""K-5""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,
Orchard Gardens K-8 School,4680,"=""K-8""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Ohrenberger School,4410,"=""K-8""",0,,,,,125.0,125.0,125.0,75.0,75.0,75.0,,,,,25.0,25.0,25.0,25.0,25.0,25.0,,,,,25.0,25.0,25.0,25.0,25.0,25.0,,,,,60.0,60.0,,,,,,,,,90.0,90.0,90.0,90.0,90.0,90.0
O'Donnell Elementary,4543,"=""K-5""",1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,75.0,75.0,75.0,75.0,60.0,60.0,60.0,,,,90.0,90.0,90.0,90.0,45.0,45.0,45.0,,,
O'Bryant School of Math & Science,1030,"=""6-12""",1,,,,,,,,,180.0,180.0,,,,,,,,,90.0,90.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,110.0,110.0
New Mission High School,1285,"=""9-12""",0,,,,,,,,,150.0,-999.0,,,,,,,,,0.0,-999.0,,,,,,,,,0.0,-999.0,,,,,,,,,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,120.0,-999.0
Murphy K-8 School,4400,"=""K-8""",1,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,75.0,75.0,75.0,30.0,30.0,30.0,30.0,10.0,10.0,10.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0
Muniz Academy,1053,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,
Mozart Elementary,4082,"=""K-5""",0,200.0,200.0,100.0,100.0,100.0,100.0,100.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,,,
Mission Hill K-8 School,4285,"=""K-8""",0,200.0,200.0,200.0,200.0,150.0,150.0,150.0,150.0,150.0,150.0,120.0,120.0,100.0,100.0,60.0,60.0,60.0,60.0,50.0,50.0,150.0,150.0,100.0,100.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,40.0,40.0,40.0,40.0,40.0
Mildred Avenue K-8 School,4671,"=""K-8""",0,100.0,100.0,100.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,20.0,20.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,150.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Mendell Elementary,4370,"=""K-5""",0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,40.0,20.0,15.0,25.0,15.0,15.0,35.0,,,,50.0,50.0,25.0,25.0,25.0,25.0,25.0,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,45.0,45.0,45.0,45.0,45.0,45.0,45.0,-999.0,-999.0,-999.0
McKinley Prep High School,1293,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
McKinley Middle,1292,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,50.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,20.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,50.0,50.0,50.0
McKay K-8 School,4360,"=""K-8""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0,60.0,60.0
McCormack Middle School,2190,"=""6-8""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.0,20.0,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,140.0,140.0,140.0,,,,,,,,140.0,140.0,140.0
Mattapan EES,4691,"=""K-5""",0,45.0,45.0,45.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,15.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,15.0,15.0,-999.0,-999.0,5.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,,,,,,,,40.0,40.0,40.0,,,,,,,
Mason Elementary,4121,"=""K-5""",0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,20.0,20.0,20.0,20.0,20.0,,,,
Manning Elementary,4311,"=""K-5""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,0.0,45.0,0.0,0.0,45.0,-999.0,-999.0,-999.0
Madison Park Technical Vocational High,1210,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Lyon K-8 School,4171,"=""K-8""",0,-999.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-999.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,70.0,60.0,120.0,80.0,140.0,140.0,140.0,80.0,80.0
Lyon High School,1171,"=""9-12""",0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Lyndon K-8 School,4331,"=""K-8""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Lee K-8 School,4290,"=""K-8""",0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,45.0,45.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Lee Academy,4291,"=""K-5""",1,225.0,225.0,225.0,225.0,225.0,,,,,,90.0,90.0,90.0,90.0,90.0,,,,,,90.0,90.0,90.0,90.0,90.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,45.0,45.0,45.0,45.0,45.0,-999.0,-999.0,-999.0,-999.0,-999.0
King K-8 School,4055,"=""K-8""",0,140.0,160.0,180.0,170.0,170.0,170.0,160.0,170.0,170.0,170.0,60.0,60.0,60.0,60.0,60.0,30.0,30.0,20.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0
Kilmer K-8 School,4033,"=""K-8""",0,125.0,200.0,125.0,125.0,125.0,125.0,125.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,40.0,65.0,65.0,65.0,65.0,65.0
Kenny Elementary,4390,"=""K-5""",1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,120.0,120.0,120.0,120.0,60.0,60.0,60.0,-999.0,-999.0,
Kennedy Patrick J. Elementary,4541,"=""K-5""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,-999.0,-999.0,-999.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,-999.0,-999.0,-999.0
Kennedy John F Elementary,4270,"=""K-5""",1,200.0,200.0,200.0,150.0,150.0,150.0,150.0,,,,70.0,70.0,60.0,60.0,60.0,60.0,60.0,,,,55.0,55.0,40.0,40.0,40.0,40.0,40.0,,,,80.0,80.0,40.0,40.0,40.0,40.0,,,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,,
Kennedy E.M Academy for Health Careers (9-10) & (11-12),1440,"=""9-12""",,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson/Mann K-8 School,4620,"=""K-8""",0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Irving Middle School,2140,"=""6-8""",1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,240.0,240.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,240.0,240.0
